Место,Регистарски број,Назив на производителот на вино,Адреса на седиштето на производителот на вино,Капацитет за прием и преработка на грозје (тони)
Демир Капија,Уп I бр.16-1363/16,"Друштво за производство, трговија и услуги ГАМА ВИНЕРИ ДООЕЛ Гевгелија Подружница Винарија Гама Демир Капија",ул. Ристо Јанева бр.17 Гевгелија,10 000 т
Кавадарци,08-5541/2,"ДПТУ КМС ""МАЛЕРИЧ"" експорт -импорт, ДООЕЛ  Неготино, подружница винарска визба КМС Малерич, с.Марена, Кавадарци","ул. Едвард Кардељ бр. 45, Неготино",60
Кавадарци,"08-5740/2
Уп I бр.16-1259/17
(овластено лице)","ТИКВЕШ""- АД","Ул.810 бр.бб, Гази Баба- Скопје",40000
Кавадарци,08-5934/2,"ДТПУ ""ЕРОС-ТРЕЈД"" ДООЕЛ","ул.Бул. Македонија бр.15/12
Кавадарци",30
Кавадарци,08-5835/2,"ДППУ ""ВИНАРИЈА ПОПОВ"" ДООЕЛ",с. Сопот Кавадарци,150
Кавадарци,08-5418/2,"ДПТТ ""ВИНАРИЈА ИЛИЈЕВИ"" ДОО","ул.Цано Поп Ристов бр.59
Кавадарци",60
Кавадарци,08-5868/3,"ДПТУ ""ДОНОВ"" ДОО",Лазо Асијата бр.6 Кавадрци,20
Кавадарци,08-5933/3,"ВВ ""ЃИ-ЕМ-ЕН",ул.Рајна Соколова бр.14 Кавадарци,20
Кавадарци,"08-5540/3
промена на податоци Уп I бр.16- 1881/16","Друштво за транспорт, производство, трговија и услуги ПЕЦА КОМЕРЦ ДООЕЛ увоз-извоз Кавадарци - Подружница ВИНАРСКА ВИЗБА ТЕМОВ Кавадарци","ул. ""Западен Булевар"" бб Кавадарци",280
Кавадарци,08-5643/2,"ДПТУ ""ПИТ-КОМ""ДОО Неготино
Подружница Вина",ул.Даме Груев бр.120 Неготино,45
Кавадарци,08-5884/2,"ДПТУ„Агора-21""Трајче ДООЕЛ Неготино,Подружница Илија Велјанов- СЛАВИН,Кавадрци",ул.Ѓоко Мишев бр.14 Неготино,50
Кавадарци,"Уп I бр. 29-1038/15
промена Уп I бр.16- 2157/16","Друштво за производство и дистрибуција на вино МОВИНО ДОО Скопје-Подружница ВИНАРСКА ВИЗБА
РОСОМАН КО Рибарци",ул.Ѓуро Стругар бр.5 Скопје - Центар,7000
Кавадарци,08-5710/4,"ДПТГУ ""ЛЕТПРОМ Летка"" ДООЕЛ","Булевар Македонија бр.66
Кавадарци",10
Кавадарци,Уп I бр. 16-1295/17,ТЕКСТИЛ Акционерско друштво за промет на стоки и усуги на големо и мало Скопје,"ул.Перо Наков бр.31, Скопје-Гази Баба",12 000 000
Кавадарци,29-16769/2,"Винарска Визба Милев ГД Тиквеш
експорт-импорт ДООЕЛ Кавадарци",Ул.29-ти Ноември бр.5 Кавадарци,4000
Кавадарци,Уп I бр.29-607/14,"Друштво за производтство,трговија,услуги и транспорт НИКОЛОВ КОМПАНИ 2014 ДООЕЛ увоз-извоз Кавадарци","Ул.14-ти мај, бр.87 А, Кавадарци",45
Кавадарци,"29-18517/2
Уп I бр.29-534/14","ДПТ ""ПОВАРДАРИЕ-АНЕВСКИ"" ДООЕЛ
Штип",ул.Железничка бр 39 Штип,1000
